"gender","event","medal","athlete","abb","year"
"Men","25 m Freestyle 1A","Gold","KENNY Mike","GBR",1980
"Men","25 m Freestyle 1A","Silver","KANTOLA Pekka","FIN",1980
"Men","25 m Freestyle 1A","Bronze","TIETZE H.","FRG",1980
"Men","25 m Freestyle 1B","Gold","BURGER M.","CAN",1980
"Men","25 m Freestyle 1B","Silver","SLUPE G.","USA",1980
"Men","25 m Freestyle 1B","Bronze","MAKI Eero","FIN",1980
"Men","25 m Freestyle 1C","Gold","SMYK Zbigniew","POL",1980
"Men","25 m Freestyle 1C","Silver","EMMEL Manfred","FRG",1980
"Men","25 m Freestyle 1C","Bronze","OCKVIRK Robert","USA",1980
"Men","50 m Freestyle CP C","Gold","ADLER Kare","NOR",1980
"Men","50 m Freestyle CP C","Silver","FORSMAN Goran","SWE",1980
"Men","50 m Freestyle CP C","Bronze","SCHUIVENS C.","NED",1980
"Men","50 m Freestyle E1","Gold","WOJCIECHOWSKI Andrzej","POL",1980
"Men","50 m Freestyle E1","Silver","MIKELIN Roko","YUG",1980
"Men","50 m Freestyle E1","Bronze","ZABEV Vangel","YUG",1980
"Men","50 m Freestyle F","Gold","SCHROEDER Karl","FRG",1980
"Men","50 m Freestyle F","Silver","PERETZMAN Baruch","ISR",1980
"Men","50 m Freestyle F","Bronze","INOSHITA Shoji","JPN",1980
"Men","50 m Freestyle J","Gold","HILDEBRANDT Frits","NED",1980
"Men","50 m Freestyle J","Silver","TAPSCOTT C.","AUS",1980
"Men","50 m Freestyle J","Bronze","DE HOOP Gerrie","NED",1980
"Men","50 m Freestyle 2","Gold","SURALA Andrzej","POL",1980
"Men","50 m Freestyle 2","Silver","AGMON Assaf","ISR",1980
"Men","50 m Freestyle 2","Bronze","CORNELIS Pascal","BEL",1980
"Men","50 m Freestyle 3","Gold","OWCZAREK Miroslaw","POL",1980
"Men","50 m Freestyle 3","Silver","PAWLOWSKI Arkadiusz","POL",1980
"Men","50 m Freestyle 3","Bronze","FLORES Francisco","ESP",1980
"Men","100 m Freestyle A","Gold","MUIRHEAD James","GBR",1980
"Men","100 m Freestyle A","Silver","MCISAAC Timothy","CAN",1980
"Men","100 m Freestyle A","Bronze","HEGLE Scott","USA",1980
"Men","100 m Freestyle B","Gold","WINGER Dean","USA",1980
"Men","100 m Freestyle B","Silver","WILSON Steve","USA",1980
"Men","100 m Freestyle B","Bronze","FIELDING Petter","SWE",1980
"Men","100 m Freestyle CP D","Gold","DE GROEN C.","NED",1980
"Men","100 m Freestyle CP D","Silver","OSLAND Stig","NOR",1980
"Men","100 m Freestyle CP D","Bronze","JERNBERG Robert","SWE",1980
"Men","100 m Freestyle C-D","Gold","BOLOTIN Ron","ISR",1980
"Men","100 m Freestyle C-D","Silver","ERYD Sven","SWE",1980
"Men","100 m Freestyle C-D","Bronze","GUDGEON Gary","AUS",1980
"Men","100 m Freestyle C1-D1","Gold","VAN LAAR Willem","NED",1980
"Men","100 m Freestyle C1-D1","Silver","TRONDSEN Erling","NOR",1980
"Men","100 m Freestyle C1-D1","Bronze","LAPALME Denis","CAN",1980
"Men","100 m Freestyle E","Gold","KERS M.","NED",1980
"Men","100 m Freestyle E","Silver","KOOPMAN B.","NED",1980
"Men","100 m Freestyle E","Bronze","KOZAK Janusz","POL",1980
"Men","100 m Freestyle 4","Gold","OLSSON Anders","SWE",1980
"Men","100 m Freestyle 4","Silver","PINTO Shlomo","ISR",1980
"Men","100 m Freestyle 4","Bronze","ROBESON Scott","USA",1980
"Men","100 m Freestyle 5","Gold","HEYNEN H. G.","NED",1980
"Men","100 m Freestyle 5","Silver","ANDERSSON Lars-Gunnar","SWE",1980
"Men","100 m Freestyle 5","Bronze","GODINEAU Th.","FRA",1980
"Men","100 m Freestyle 6","Gold","BERGMAN Uri","ISR",1980
"Men","100 m Freestyle 6","Silver","NABIL Naser Eldin","EGY",1980
"Men","100 m Freestyle 6","Bronze","GATTINGER G.","FRG",1980
"Men","400 m Freestyle C-D","Gold","GUDGEON Gary","AUS",1980
"Men","400 m Freestyle C-D","Silver","BIELA Grzegorz","POL",1980
"Men","400 m Freestyle C-D","Bronze","BOLOTIN Ron","ISR",1980
"Men","25 m Backstroke 1A","Gold","KENNY Mike","GBR",1980
"Men","25 m Backstroke 1A","Silver","KANTOLA Pekka","FIN",1980
"Men","25 m Backstroke 1A","Bronze","BIRCH G.","CAN",1980
"Men","25 m Backstroke 1B","Gold","LILJEDAL Karen","SWE",1980
"Men","25 m Backstroke 1B","Silver","ERIKSSON Goran","SWE",1980
"Men","25 m Backstroke 1B","Bronze","BURGER M.","CAN",1980
"Men","25 m Backstroke 1C","Gold","SMYK Zbigniew","POL",1980
"Men","25 m Backstroke 1C","Silver","HILL Peter","AUS",1980
"Men","25 m Backstroke 1C","Bronze","OCKVIRK Robert","USA",1980
"Men","50 m Backstroke CP C","Gold","SCHUIVENS C.","NED",1980
"Men","50 m Backstroke CP C","Silver","FORSMAN Goran","SWE",1980
"Men","50 m Backstroke CP C","Bronze","ADLER Kare","NOR",1980
"Men","50 m Backstroke E1","Gold","WOJCIECHOWSKI Andrzej","POL",1980
"Men","50 m Backstroke E1","Silver","MIKELIN Roko","YUG",1980
"Men","50 m Backstroke E1","Bronze","NIELSEN Jorn","DEN",1980
"Men","50 m Backstroke F","Gold","SCHROEDER Karl","FRG",1980
"Men","50 m Backstroke F","Silver","PERETZMAN Baruch","ISR",1980
"Men","50 m Backstroke F","Bronze","INOSHITA Shoji","JPN",1980
"Men","50 m Backstroke F1","Gold","PERRY B.","FRA",1980
"Men","50 m Backstroke F1","Silver","SCHARMENTKE R.","FRG",1980
"Men","50 m Backstroke F1","Bronze","BRAND Andreas","FRG",1980
"Men","50 m Backstroke J","Gold","HILDEBRANDT Frits","NED",1980
"Men","50 m Backstroke J","Silver","TAPSCOTT C.","AUS",1980
"Men","50 m Backstroke J","Bronze","ZEGERS Johan","NED",1980
"Men","50 m Backstroke 2","Gold","SURALA Andrzej","POL",1980
"Men","50 m Backstroke 2","Silver","MALYSKA Januariusz","POL",1980
"Men","50 m Backstroke 2","Bronze","CORNELIS Pascal","BEL",1980
"Men","50 m Backstroke 3","Gold","OWCZAREK Miroslaw","POL",1980
"Men","50 m Backstroke 3","Silver","DELGADALLIO Henry","MEX",1980
"Men","50 m Backstroke 3","Bronze","SCOTT Andrew James","ZIM",1980
"Men","100 m Backstroke A","Gold","MUIRHEAD James","GBR",1980
"Men","100 m Backstroke A","Silver","SKARET Frank","SWE",1980
"Men","100 m Backstroke A","Bronze","HEGLE Scott","USA",1980
"Men","100 m Backstroke B","Gold","FIELDING Petter","SWE",1980
"Men","100 m Backstroke B","Silver","WINGER Dean","USA",1980
"Men","100 m Backstroke B","Bronze","WILSON Steve","USA",1980
"Men","100 m Backstroke CP D","Gold","DE GROEN C.","NED",1980
"Men","100 m Backstroke CP D","Silver","HAMPSHIRE Chris","GBR",1980
"Men","100 m Backstroke CP D","Bronze","METTRAUX Regis","SUI",1980
"Men","100 m Backstroke C-D","Gold","COLLINS-SIMPSON G.","CAN",1980
"Men","100 m Backstroke C-D","Silver","GUDGEON Gary","AUS",1980
"Men","100 m Backstroke C-D","Bronze","MEJIA Pedro","COL",1980
"Men","100 m Backstroke C1-D1","Gold","LAPALME Denis","CAN",1980
"Men","100 m Backstroke C1-D1","Silver","TRONDSEN Erling","NOR",1980
"Men","100 m Backstroke C1-D1","Bronze","VAN LAAR Willem","NED",1980
"Men","100 m Backstroke E","Gold","KERS M.","NED",1980
"Men","100 m Backstroke E","Silver","VAN BUITEN Andre","NED",1980
"Men","100 m Backstroke E","Bronze","KOOPMAN B.","NED",1980
"Men","100 m Backstroke 4","Gold","ROBESON Scott","USA",1980
"Men","100 m Backstroke 4","Silver","PIELAK Adam","POL",1980
"Men","100 m Backstroke 4","Bronze","STANFIELD J.","CAN",1980
"Men","100 m Backstroke 5","Gold","MACHOWCZYK Ryszard","POL",1980
"Men","100 m Backstroke 5","Silver","JIMENEZ Eugenio","ESP",1980
"Men","100 m Backstroke 5","Bronze","NILSSON Tore","SWE",1980
"Men","100 m Backstroke 6","Gold","LEGEBEKE H. J. M.","NED",1980
"Men","100 m Backstroke 6","Silver","GATTINGER G.","FRG",1980
"Men","100 m Backstroke 6","Bronze","CASTILLO Antonio","MEX",1980
"Men","25 m Breaststroke 1A","Gold","KENNY Mike","GBR",1980
"Men","25 m Breaststroke 1A","Silver","TIETZE H.","FRG",1980
"Men","25 m Breaststroke 1A","Bronze","KANTOLA Pekka","FIN",1980
"Men","25 m Breaststroke 1B","Gold","BURGER M.","CAN",1980
"Men","25 m Breaststroke 1B","Silver","SLUPE G.","USA",1980
"Men","25 m Breaststroke 1B","Bronze","PROCATUS Fr.","BEL",1980
"Men","25 m Breaststroke 1C","Gold","SMYK Zbigniew","POL",1980
"Men","25 m Breaststroke 1C","Silver","HILL Peter","AUS",1980
"Men","25 m Breaststroke 1C","Bronze","HENKER Siegmar","FRG",1980
"Men","50 m Breaststroke CP C","Gold","FORSMAN Goran","SWE",1980
"Men","50 m Breaststroke CP C","Silver","ADLER Kare","NOR",1980
"Men","50 m Breaststroke CP C","Bronze","SCHUIVENS C.","NED",1980
"Men","50 m Breaststroke E1","Gold","WOJCIECHOWSKI Andrzej","POL",1980
"Men","50 m Breaststroke E1","Silver","KAMPKA K.","FRG",1980
"Men","50 m Breaststroke E1","Bronze","MIKELIN Roko","YUG",1980
"Men","50 m Breaststroke F","Gold","PERETZMAN Baruch","ISR",1980
"Men","50 m Breaststroke F","Silver","MIETTINEN Heikki","FIN",1980
"Men","50 m Breaststroke F","Bronze","PETEREIT K.","FRG",1980
"Men","50 m Breaststroke F1","Gold","SCHARMENTKE R.","FRG",1980
"Men","50 m Breaststroke F1","Silver","BRAND Andreas","FRG",1980
"Men","50 m Breaststroke F1","Bronze","PERRY B.","FRA",1980
"Men","50 m Breaststroke J","Gold","DE HOOP Gerrie","NED",1980
"Men","50 m Breaststroke J","Silver","NORDTVEDT Tom","NOR",1980
"Men","50 m Breaststroke J","Bronze","ZEGERS Johan","NED",1980
"Men","50 m Breaststroke 2","Gold","SURALA Andrzej","POL",1980
"Men","50 m Breaststroke 2","Silver","MALYSKA Januariusz","POL",1980
"Men","50 m Breaststroke 2","Bronze","AGMON Assaf","ISR",1980
"Men","50 m Breaststroke 3","Gold","OWCZAREK Miroslaw","POL",1980
"Men","50 m Breaststroke 3","Silver","WANGER Joseph","ISR",1980
"Men","50 m Breaststroke 3","Bronze","PAWLOWSKI Arkadiusz","POL",1980
"Men","100 m Breaststroke A","Gold","MCISAAC Timothy","CAN",1980
"Men","100 m Breaststroke A","Silver","KARLSSON Hakan","SWE",1980
"Men","100 m Breaststroke A","Bronze","WHEATLEY Jeff","USA",1980
"Men","100 m Breaststroke B","Gold","WILSON Steve","USA",1980
"Men","100 m Breaststroke B","Silver","WINGER Dean","USA",1980
"Men","100 m Breaststroke B","Bronze","BERNER Sixten","SWE",1980
"Men","100 m Breaststroke C","Gold","BIELA Grzegorz","POL",1980
"Men","100 m Breaststroke C","Silver","BOLOTIN Ron","ISR",1980
"Men","100 m Breaststroke C","Bronze","ERYD Sven","SWE",1980
"Men","100 m Breaststroke C1","Gold","TRONDSEN Erling","NOR",1980
"Men","100 m Breaststroke C1","Silver","LAPALME Denis","CAN",1980
"Men","100 m Breaststroke C1","Bronze","CHORZEPA Wieslaw","POL",1980
"Men","100 m Breaststroke CP D","Gold","VAN DALEN J.","NED",1980
"Men","100 m Breaststroke CP D","Silver","JERNBERG Robert","SWE",1980
"Men","100 m Breaststroke CP D","Bronze","OSLAND Stig","NOR",1980
"Men","100 m Breaststroke D","Gold","MEJIA Pedro","COL",1980
"Men","100 m Breaststroke D","Silver","GARDNER L.","CAN",1980
"Men","100 m Breaststroke D","Bronze","WECKER W.","FRG",1980
"Men","100 m Breaststroke D1","Gold","BANFI Jozef","YUG",1980
"Men","100 m Breaststroke D1","Silver","FINCH J.","USA",1980
"Men","100 m Breaststroke D1","Bronze","GORIS Wolfgang","FRG",1980
"Men","100 m Breaststroke E","Gold","KERS M.","NED",1980
"Men","100 m Breaststroke E","Silver","VAN BUITEN Andre","NED",1980
"Men","100 m Breaststroke E","Bronze","KOZAK Janusz","POL",1980
"Men","100 m Breaststroke 4","Gold","CHAMBERS D. P.","NZL",1980
"Men","100 m Breaststroke 4","Silver","STANFIELD J.","CAN",1980
"Men","100 m Breaststroke 4","Bronze","OLSSON Anders","SWE",1980
"Men","100 m Breaststroke 5","Gold","NILSSON Tore","SWE",1980
"Men","100 m Breaststroke 5","Silver","MACHOWCZYK Ryszard","POL",1980
"Men","100 m Breaststroke 5","Bronze","BETEGA G.","FRA",1980
"Men","100 m Breaststroke 6","Gold","BLAUCIAK Andrzej","POL",1980
"Men","100 m Breaststroke 6","Silver","LEGEBEKE H. J. M.","NED",1980
"Men","100 m Breaststroke 6","Bronze","JAILLET B.","FRA",1980
"Men","25 m Butterfly 2","Gold","SURALA Andrzej","POL",1980
"Men","25 m Butterfly 2","Silver","AGMON Assaf","ISR",1980
"Men","25 m Butterfly 2","Bronze","TSUNODA Yoshio","JPN",1980
"Men","25 m Butterfly 3","Gold","PAWLOWSKI Arkadiusz","POL",1980
"Men","25 m Butterfly 3","Silver","OWCZAREK Miroslaw","POL",1980
"Men","25 m Butterfly 3","Bronze","FLORES Francisco","ESP",1980
"Men","25 m Butterfly 4","Gold","ROBESON Scott","USA",1980
"Men","25 m Butterfly 4","Silver","OLSSON Anders","SWE",1980
"Men","25 m Butterfly 4","Bronze","VRIELING H.","NED",1980
"Men","50 m Butterfly 5","Gold","JIMENEZ Eugenio","ESP",1980
"Men","50 m Butterfly 5","Silver","MACHOWCZYK Ryszard","POL",1980
"Men","50 m Butterfly 5","Bronze","HEYNEN H. G.","NED",1980
"Men","100 m Butterfly A","Gold","MCISAAC Timothy","CAN",1980
"Men","100 m Butterfly A","Silver","MUIRHEAD James","GBR",1980
"Men","100 m Butterfly A","Bronze","HEGLE Scott","USA",1980
"Men","100 m Butterfly B","Gold","WINGER Dean","USA",1980
"Men","100 m Butterfly B","Silver","FIELDING Petter","SWE",1980
"Men","100 m Butterfly B","Bronze","WILSON Steve","USA",1980
"Men","100 m Butterfly C","Gold","BOLOTIN Ron","ISR",1980
"Men","100 m Butterfly C","Silver","COLLINS-SIMPSON G.","CAN",1980
"Men","100 m Butterfly C","Bronze","BIELA Grzegorz","POL",1980
"Men","100 m Butterfly D","Gold","ALDOUS Peter","GBR",1980
"Men","100 m Butterfly D","Silver","GRONSKY Roman","TCH",1980
"Men","100 m Butterfly D","Bronze","GARDNER L.","CAN",1980
"Men","100 m Butterfly E","Gold","VAN BUITEN Andre","NED",1980
"Men","100 m Butterfly E","Silver","KOZAK Janusz","POL",1980
"Men","100 m Butterfly E","Bronze","SCHWEITZER G.","FRG",1980
"Men","100 m Butterfly 6","Gold","BERGMAN Uri","ISR",1980
"Men","100 m Butterfly 6","Silver","GATTINGER G.","FRG",1980
"Men","100 m Butterfly 6","Bronze","JAILLET B.","FRA",1980
"Men","2x25 m Individual Medley F1","Gold","PERRY B.","FRA",1980
"Men","2x25 m Individual Medley F1","Silver","BRAND Andreas","FRG",1980
"Men","2x25 m Individual Medley F1","Bronze","FOPPOLO David","FRA",1980
"Men","3x25 m Individual Medley 2","Gold","SURALA Andrzej","POL",1980
"Men","3x25 m Individual Medley 2","Silver","MALYSKA Januariusz","POL",1980
"Men","3x25 m Individual Medley 2","Bronze","AGMON Assaf","ISR",1980
"Men","3x50 m Individual Medley C1","Gold","TRONDSEN Erling","NOR",1980
"Men","3x50 m Individual Medley C1","Silver","VAN LAAR Willem","NED",1980
"Men","3x50 m Individual Medley C1","Bronze","CHORZEPA Wieslaw","POL",1980
"Men","3x50 m Individual Medley D1","Gold","BANFI Jozef","YUG",1980
"Men","3x50 m Individual Medley D1","Silver","GORIS Wolfgang","FRG",1980
"Men","3x50 m Individual Medley D1","Bronze","BAKX J. T. M.","NED",1980
"Men","3x50 m Individual Medley E1","Gold","WOJCIECHOWSKI Andrzej","POL",1980
"Men","3x50 m Individual Medley E1","Silver","MIKELIN Roko","YUG",1980
"Men","3x50 m Individual Medley E1","Bronze","ZABEV Vangel","YUG",1980
"Men","3x50 m Individual Medley F","Gold","SCHROEDER Karl","FRG",1980
"Men","3x50 m Individual Medley F","Silver","PERETZMAN Baruch","ISR",1980
"Men","3x50 m Individual Medley F","Bronze","PETEREIT K.","FRG",1980
"Men","3x25 m Freestyle Relay 1A-1C","Gold","FR Germany","FRG",1980
"Men","3x25 m Freestyle Relay 1A-1C","Silver","United States of America","USA",1980
"Men","3x25 m Freestyle Relay 1A-1C","Bronze","Canada","CAN",1980
"Men","3x50 m Freestyle Relay E-F","Gold","FR Germany","FRG",1980
"Men","3x50 m Freestyle Relay E1-F1","Gold","FR Germany","FRG",1980
"Men","3x50 m Freestyle Relay E1-F1","Silver","France","FRA",1980
"Men","3x100 m Freestyle Relay C1-D1","Gold","Netherlands","NED",1980
"Men","3x50 m Medley Relay 2-4","Gold","Poland","POL",1980
"Men","3x50 m Medley Relay 2-4","Silver","Israel","ISR",1980
"Men","3x50 m Medley Relay 2-4","Bronze","New Zealand","NZL",1980
"Men","3x100 m Medley Relay CP D","Gold","Netherlands","NED",1980
"Men","3x100 m Medley Relay CP D","Silver","France","FRA",1980
"Men","3x100 m Medley Relay CP D","Bronze","Belgium","BEL",1980
"Women","25 m Freestyle 1A","Gold","DONALDSON Karen","USA",1980
"Women","25 m Freestyle 1A","Silver","CORNEJO Josefina","MEX",1980
"Women","25 m Freestyle 1A","Bronze","GARCIA Eugenia","ARG",1980
"Women","25 m Freestyle 1B","Gold","SANDOVAL Martha","MEX",1980
"Women","25 m Freestyle 1B","Silver","LOPEZ Monica","ARG",1980
"Women","25 m Freestyle 1B","Bronze","ROBERTSON Eileen","ZIM",1980
"Women","25 m Freestyle 1C","Gold","BARR Isabel","GBR",1980
"Women","25 m Freestyle 1C","Silver","ERIKSSON Kerstin","SWE",1980
"Women","50 m Freestyle CP C","Gold","VAN DER MEER M.","NED",1980
"Women","50 m Freestyle CP C","Silver","LUNDKVIST Eva","SWE",1980
"Women","50 m Freestyle CP C","Bronze","LAUWERS E.","BEL",1980
"Women","50 m Freestyle F","Gold","SEARGEANT M.","CAN",1980
"Women","50 m Freestyle F","Silver","ALLARD M. H.","FRA",1980
"Women","50 m Freestyle J","Gold","LAKE Josee","CAN",1980
"Women","50 m Freestyle J","Silver","VAN DEN ZAAG J.","NED",1980
"Women","50 m Freestyle J","Bronze","ESSBERG Carina","SWE",1980
"Women","50 m Freestyle 2","Gold","PRICE M.","GBR",1980
"Women","50 m Freestyle 2","Silver","WEBER D.","FRG",1980
"Women","50 m Freestyle 2","Bronze","RUSEWICZ Irena","POL",1980
"Women","50 m Freestyle 3","Gold","RIZZOTTO Marcela","ARG",1980
"Women","50 m Freestyle 3","Silver","LUNDBORG Monika","SWE",1980
"Women","50 m Freestyle 3","Bronze","SMITH D.","GBR",1980
"Women","100 m Freestyle A","Gold","MICHEL Yvette","CAN",1980
"Women","100 m Freestyle A","Silver","CONNORS Carolyn","AUS",1980
"Women","100 m Freestyle A","Bronze","MOLINE Gunilla","SWE",1980
"Women","100 m Freestyle B","Gold","ZORN Trischa","USA",1980
"Women","100 m Freestyle B","Silver","ANDERSSON Eva","SWE",1980
"Women","100 m Freestyle B","Bronze","AKINS Missy","USA",1980
"Women","100 m Freestyle CP D","Gold","HAGERAATS Ineke","NED",1980
"Women","100 m Freestyle CP D","Silver","MARTINSEN Inger Johanne","NOR",1980
"Women","100 m Freestyle CP D","Bronze","POORTVLIET W.","NED",1980
"Women","100 m Freestyle C-D","Gold","VAUGHAN M.","GBR",1980
"Women","100 m Freestyle C-D","Silver","MITCHELL J.","CAN",1980
"Women","100 m Freestyle C-D","Bronze","GESIERICH Karen","FRG",1980
"Women","100 m Freestyle C1-D1","Gold","KRAJEWSKA Lucyna","POL",1980
