1;"Curtis Kephart and Isabella Velásquez";"Announcing the RStudio 2021 Communications Survey";"2021-10-27"
1;"Isabella Velásquez";"RStudio at R/Pharma 2021";"2021-10-27"
1;"Alex Gold, Tatsuya Shigeta, and Isabella Velásquez";"How Data Scientists and Security Teams Can Effectively Work Together";"2021-10-26"
1;"Brian Deitte and Nathan Stephens";"RStudio Professional Drivers 2021.10.0";"2021-10-26"
1;"Kathleen Bostic and Michel Ruiz-Fuentes";"The INSPIRE U2 Program: Student Reflections on Data Science Training";"2021-10-22"
1;"Isabella Velásquez";"Embedding Shiny Apps in Tableau Dashboards Using shinytableau";"2021-10-21"
1;"Dr. A. Nayena Blankson";"The INSPIRE U2 Program: Training Students in Big Data and Statistics Using RStudio";"2021-10-20"
1;"Isabella Velásquez";"Why Your Data Science Team Might Need a Shiny Deployment Engineer";"2021-10-14"
1;"James Blair & Kelly O'Briant";"RStudio Connect 2021.09.0 Tableau Analytics Extensions";"2021-10-12"
1;"Isabella Velásquez";"Teaching a Biomedical Data Science Course Using RStudio Cloud";"2021-10-06"
2;"Hadley Wickham";"pins 1.0.0";"2021-10-04"
2;"Rich Iannone and Curtis Kephart";"An RStudio Table Contest for 2021";"2021-09-30"
2;"Taylor Rodgers";"How to Use shinyMatrix and plotly Graphs as Inputs in a Shiny App";"2021-09-29"
2;"Jeffrey Vroom";"RStudio 2021.09.0 Update: What's New";"2021-09-29"
2;"Robby Shaver";"What's New on RStudio Cloud - September 2021";"2021-09-28"
2;"Shannon Pileggi";"Curating for @WeAreRLadies on Twitter";"2021-09-23"
2;"Daniel Petzold and Brian Deitte";"RStudio Package Manager 2021.09.0 - Capturing and Maintaining Working Repositories";"2021-09-22"
2;"Melissa Barca";"RStudio Workbench Load Balancing Changes";"2021-09-21"
2;"Lou Bajuk";"The Advantages of Code-First Data Science";"2021-09-16"
2;"Rachael Dempsey";"How do you use Shiny to communicate to 8 million people?";"2021-09-14"
3;"Pritam Dalal";"My Excel and R Journey in Financial Services";"2021-09-07"
3;"Ferit Albukrek";"Announcing Calendar Based Versioning for All Commercial RStudio Products";"2021-08-30"
3;"Kelly O'Briant";"RStudio Connect 2021.08.0 Custom Branding";"2021-08-30"
3;"Kelly O'Briant";"RStudio Connect 2021.08.0 Python Updates";"2021-08-30"
3;"Colin Gillespie (Jumping Rivers)";"Practical Advice for R in Production -  Answering Your Questions";"2021-08-27"
3;"Averi Perny";"Cheatsheet Updates";"2021-08-23"
3;"Alison Hill, Christophe Dervieux, Yihui Xie";"Announcing bookdown v0.23";"2021-08-18"
3;"Shannon Hagerty";"Using Shiny in Healthcare: Examples from the 2021 Shiny Contest";"2021-08-17"
3;"Michael Demsko";"RStudio Voices - Julia Silge";"2021-08-12"
3;"Matthias Mueller";"Democratizing Data with R, Python, and Slack";"2021-08-10"
4;"RStudio Team";"RStudio Beta 3 (v0.94)";"2011-06-14"
4;"RStudio Team";"RStudio Beta 2 (v0.93)";"2011-04-11"
4;"RStudio Team";"RStudio, new open-source IDE for R";"2011-02-28"
4;"RStudio Team";"About the RStudio Project";"2011-02-27"
4;"RStudio Team";"Welcome to our Weblog";"2011-02-27"
